DKNG,,,FUBO,,,WWE,,,NKE,
Date,Close,,Date,Close,,Date,Close,,Date,Close
,,,4/29/2021 16:00,20.66,,2/10/2021 16:00,46.68,,2/10/2021 16:00,142.46
,,,4/30/2021 16:00,20.16,,2/11/2021 16:00,47.06,,2/11/2021 16:00,143.54
,,,5/3/2021 16:00,19.76,,2/12/2021 16:00,46.41,,2/12/2021 16:00,142.12
,,,5/4/2021 16:00,18.88,,2/16/2021 16:00,46.5,,2/16/2021 16:00,141.71
,,,5/5/2021 16:00,18,,2/17/2021 16:00,47.49,,2/17/2021 16:00,143.99
,,,5/6/2021 16:00,17.07,,2/18/2021 16:00,47.27,,2/18/2021 16:00,145.09
,,,5/7/2021 16:00,17.24,,2/19/2021 16:00,46.81,,2/19/2021 16:00,142.02
,,,5/10/2021 16:00,16.35,,2/22/2021 16:00,47.73,,2/22/2021 16:00,136.67
,,,5/11/2021 16:00,17.67,,2/23/2021 16:00,48.24,,2/23/2021 16:00,136.13
,,,5/12/2021 16:00,19.38,,2/24/2021 16:00,49.81,,2/24/2021 16:00,135.65
,,,5/13/2021 16:00,18.27,,2/25/2021 16:00,48.9,,2/25/2021 16:00,135.54
,,,5/14/2021 16:00,20.53,,2/26/2021 16:00,49.4,,2/26/2021 16:00,134.78
,,,5/17/2021 16:00,20.4,,3/1/2021 16:00,52.49,,3/1/2021 16:00,137.65
,,,5/18/2021 16:00,21.42,,3/2/2021 16:00,52.9,,3/2/2021 16:00,137.02
,,,5/19/2021 16:00,20.57,,3/3/2021 16:00,51.82,,3/3/2021 16:00,134.26
,,,5/20/2021 16:00,20.56,,3/4/2021 16:00,52.58,,3/4/2021 16:00,132.04
,,,5/21/2021 16:00,20.29,,3/5/2021 16:00,54.5,,3/5/2021 16:00,133.35
,,,5/24/2021 16:00,21.44,,3/8/2021 16:00,56.75,,3/8/2021 16:00,134.56
,,,5/25/2021 16:00,21,,3/9/2021 16:00,56.07,,3/9/2021 16:00,135.95
,,,,,,3/10/2021 16:00,57.22,,3/10/2021 16:00,137.59
,,,,,,3/11/2021 16:00,58.28,,3/11/2021 16:00,141.19
,,,,,,3/12/2021 16:00,57.21,,3/12/2021 16:00,140.45
,,,,,,3/15/2021 16:00,57.67,,3/15/2021 16:00,144.94
,,,,,,3/16/2021 16:00,57.72,,3/16/2021 16:00,144.65
,,,,,,3/17/2021 16:00,56.57,,3/17/2021 16:00,144.82
,,,,,,3/18/2021 16:00,55.96,,3/18/2021 16:00,143.17
,,,,,,3/19/2021 16:00,57.12,,3/19/2021 16:00,137.49
,,,,,,3/22/2021 16:00,57.74,,3/22/2021 16:00,138.27
,,,,,,3/23/2021 16:00,56.37,,3/23/2021 16:00,137.12
,,,,,,3/24/2021 16:00,56.59,,3/24/2021 16:00,133.16
,,,,,,3/25/2021 16:00,55.25,,3/25/2021 16:00,128.64
,,,,,,3/26/2021 16:00,55,,3/26/2021 16:00,132.99
,,,,,,3/29/2021 16:00,56.09,,3/29/2021 16:00,133.49
,,,,,,3/30/2021 16:00,55.95,,3/30/2021 16:00,132.95
,,,,,,3/31/2021 16:00,54.26,,3/31/2021 16:00,132.89
,,,,,,4/1/2021 16:00,55.59,,4/1/2021 16:00,132.53
,,,,,,4/5/2021 16:00,55.49,,4/5/2021 16:00,135.12
,,,,,,4/6/2021 16:00,56.05,,4/6/2021 16:00,137.16
,,,,,,4/7/2021 16:00,56.5,,4/7/2021 16:00,136.54
,,,,,,4/8/2021 16:00,56.09,,4/8/2021 16:00,133.68
,,,,,,4/9/2021 16:00,58.36,,4/9/2021 16:00,135.45
,,,,,,4/12/2021 16:00,56.8,,4/12/2021 16:00,136.64
,,,,,,4/13/2021 16:00,56.35,,4/13/2021 16:00,133.54
,,,,,,4/14/2021 16:00,56.23,,4/14/2021 16:00,132.26
,,,,,,4/15/2021 16:00,56.74,,4/15/2021 16:00,133.67
,,,,,,4/16/2021 16:00,56.36,,4/16/2021 16:00,134.31
,,,,,,4/19/2021 16:00,56.74,,4/19/2021 16:00,132.57
,,,,,,4/20/2021 16:00,56.58,,4/20/2021 16:00,127.11
,,,,,,4/21/2021 16:00,56.94,,4/21/2021 16:00,129.9
,,,,,,4/22/2021 16:00,56.22,,4/22/2021 16:00,129.18
,,,,,,4/23/2021 16:00,54.23,,4/23/2021 16:00,130.19
,,,,,,4/26/2021 16:00,55.62,,4/26/2021 16:00,131.6
,,,,,,4/27/2021 16:00,55.75,,4/27/2021 16:00,132.11
,,,,,,4/28/2021 16:00,55.55,,4/28/2021 16:00,130.71
,,,,,,4/29/2021 16:00,55.68,,4/29/2021 16:00,133.26
,,,,,,4/30/2021 16:00,55.11,,4/30/2021 16:00,132.62
,,,,,,5/3/2021 16:00,55.89,,5/3/2021 16:00,133.03
,,,,,,5/4/2021 16:00,54.34,,5/4/2021 16:00,131.55
,,,,,,5/5/2021 16:00,54.21,,5/5/2021 16:00,132.21
,,,,,,5/6/2021 16:00,54.96,,5/6/2021 16:00,133.49
,,,,,,5/7/2021 16:00,54.87,,5/7/2021 16:00,137.81
,,,,,,5/10/2021 16:00,54.59,,5/10/2021 16:00,136.4
,,,,,,5/11/2021 16:00,54.05,,5/11/2021 16:00,137.12
,,,,,,5/12/2021 16:00,52.81,,5/12/2021 16:00,133.39
,,,,,,5/13/2021 16:00,52.81,,5/13/2021 16:00,133.61
,,,,,,5/14/2021 16:00,53.69,,5/14/2021 16:00,135.93
,,,,,,5/17/2021 16:00,53.9,,5/17/2021 16:00,136.41
,,,,,,5/18/2021 16:00,52.97,,5/18/2021 16:00,135.56
,,,,,,5/19/2021 16:00,52.69,,5/19/2021 16:00,132.96
,,,,,,5/20/2021 16:00,54.63,,5/20/2021 16:00,133.27
,,,,,,5/21/2021 16:00,57.55,,5/21/2021 16:00,132.66
,,,,,,5/24/2021 16:00,57.92,,5/24/2021 16:00,134.06
,,,,,,5/25/2021 16:00,57.28,,5/25/2021 16:00,134.32
